Date,Category,Amount,Description,Payment Mode,Cashback
2025-12-12,Healthcare,348.7,Eye exam,Debit Card,21.35
2025-12-30,Rent,66.08,House rent payment,Mobile Payment,0.0
2025-12-22,Stationary,413.6,Sheets,Bank Transfer,0.0
2025-12-12,Travel,52.11,Hastinapur tour,Bank Transfer,0.0
2025-12-08,Stationary,149.08,Sketch Pens,Credit Card,6.67
2025-12-20,Transport,411.39,Public transport ticket,Cash,0.0
2025-12-11,Food,377.51,Dinner delivery,Cash,0.0
2025-12-19,Travel,342.51,Hastinapur tour,Mobile Payment,0.0
2025-12-27,Stationary,407.16,Charts,Cash,0.0
2025-12-06,Transport,19.1,Parking fee,Cash,0.0
2025-12-10,Entertainment,241.51,Books purchase,Cash,0.0
2025-12-08,Shopping,165.96,Bought electronics,Cash,0.0
2025-12-17,Shopping,489.04,Shopping for accessories,Cash,0.0
2025-12-04,Entertainment,49.4,Books purchase,Mobile Payment,0.0
2025-12-26,Stationary,478.82,Pens,Credit Card,10.92
2025-12-15,Travel,289.14,Hastinapur tour,Mobile Payment,0.0
2025-12-23,Investments,170.12,SIP,Credit Card,12.46
2025-12-11,Shopping,170.57,Bought electronics,Bank Transfer,0.0
2025-12-13,Entertainment,415.4,Books purchase,Debit Card,12.7
2025-12-14,Rent,234.17,Monthly rent,Bank Transfer,0.0
2025-12-15,Transport,432.07,Uber ride,Mobile Payment,0.0
2025-12-24,Healthcare,376.62,Prescription glasses,Cash,0.0
2025-12-05,Investments,417.73,LIC,Debit Card,10.16
2025-12-18,Stationary,206.97,Charts,Mobile Payment,0.0
2025-12-15,Entertainment,251.53,Theatre show,Credit Card,8.03
2025-12-07,Stationary,240.05,Sheets,Debit Card,2.95
2025-12-27,Shopping,101.24,Online shopping,Cash,0.0
2025-12-28,Investments,446.94,mutual funds,Mobile Payment,0.0
2025-12-28,Travel,258.93,South Tour,Debit Card,15.26
2025-12-04,Food,162.72,Coffee at café,Credit Card,6.48
2025-12-09,Travel,335.53,Movies,Credit Card,14.98
2025-12-28,Investments,239.04,LIC,Mobile Payment,0.0
2025-12-22,Stationary,150.1,declutter boxes,Debit Card,8.21
2025-12-28,Investments,285.12,mutual funds,Debit Card,10.1
2025-12-23,Rent,36.82,Monthly rent,Mobile Payment,0.0
